Model Name,Task,Description,Pretrained Weights Repository,Model Size (Params),mAP@0.5,mAP@[.5:.95]
yolov10x_bb_detect_model,Object Detection,Detects bounding boxes of beetles in an image.,ChristopherMarais/ibbi_yolov10_od_20250601,N/A,N/A,N/A
yolov10x_bb_classify_model,Classification,Classifies the species of a beetle in an image.,ChristopherMarais/ibbi_yolov10_c_20250608,N/A,N/A,N/A
